gene,det_rate_hc,hc_mean_count,theta_glm,theta_vi,theta_lap,Z_Mean,Z_Std,valid,fail_reason
ENSG00000000003.17,0.5592369477911646,9.095381736755371,0.1,0.325949102640152,1.0997037887573242,-0.08099982,0.7073206,True,
ENSG00000000005.6,0.1536144578313253,1.551204800605774,0.1,0.09525268524885178,0.9151849746704102,-0.08663551,0.5848902,False,Low_Count
ENSG00000000419.15,0.9789156626506024,126.21084594726562,0.1,0.5371646285057068,3.5425703525543213,-0.006360999,0.4311175,True,
ENSG00000000457.15,0.9487951807228916,70.11947631835938,0.1,0.7123226523399353,1.8108817338943481,-0.034694996,0.5644541,True,
ENSG00000000460.18,0.8684738955823293,66.53413391113281,0.1,0.5845403671264648,1.1717581748962402,-0.041253798,0.6630295,True,
ENSG00000000938.14,1.0,883.6536254882812,0.1,0.2812543213367462,4.054131031036377,0.11513215,0.8628695,True,
ENSG00000000971.18,0.8283132530120482,38.01506042480469,0.1,0.5825240015983582,0.8858386278152466,-0.04109537,0.74123335,True,
ENSG00000001036.15,0.8875502008032129,55.63453674316406,0.1,0.660539984703064,1.1659623384475708,-0.039792635,0.6263332,True,
ENSG00000001084.14,0.9849397590361446,249.1726837158203,0.1,0.38881292939186096,3.6147499084472656,0.0084520215,0.48666623,True,
ENSG00000001167.16,0.9849397590361446,193.45883178710938,0.1,0.4354468882083893,3.6884520053863525,-0.0039072665,0.42661068,True,
ENSG00000001460.19,0.7399598393574297,15.537148475646973,0.1,0.6350045204162598,0.8869221210479736,-0.08236335,0.7518954,True,
ENSG00000001461.20,0.9558232931726908,141.89959716796875,0.1,0.48575159907341003,2.6886048316955566,-0.0089783985,0.4995233,True,
ENSG00000001497.19,0.9889558232931727,242.7971954345703,0.1,0.3920837342739105,3.8075408935546875,0.007307379,0.44103867,True,
ENSG00000001561.8,0.7580321285140562,22.37148666381836,0.1,0.6446524858474731,0.9243532419204712,-0.063983776,0.80936545,True,
ENSG00000001617.13,0.5180722891566265,14.951807022094727,0.1,0.3269804120063782,1.1082587242126465,-0.11674233,0.7098971,True,
ENSG00000001626.19,0.15461847389558234,1.2901606559753418,0.1,0.1320643573999405,0.8733521699905396,-0.1222986,0.46013126,False,Low_Count
ENSG00000001629.11,0.9869477911646586,308.4297180175781,0.1,0.3573364019393921,3.932774066925049,0.026358362,0.48995355,True,
ENSG00000001630.19,0.7700803212851406,25.405622482299805,0.1,0.5908905267715454,0.8771094083786011,-0.04859862,0.7288703,True,
ENSG00000001631.18,0.9889558232931727,339.6526184082031,0.1,0.352129191160202,3.9727096557617188,0.022480901,0.52915287,True,
ENSG00000002016.19,0.7580321285140562,35.78915786743164,0.1,0.5471932888031006,0.9828453063964844,-0.042422153,0.7921564,True,
ENSG00000002330.15,0.9668674698795181,116.98795318603516,0.1,0.5547492504119873,3.1753311157226562,-0.012779718,0.45786324,True,
