gene,det_rate_hc,hc_mean_count,time_glm_s,theta_glm,time_bglm_s,theta_bglm,time_lap_s,theta_lap
ENSG00000000003.17,0.5592369477911646,9.095381736755371,0.010863465984584764,0.2807059988386695,1.850563551997766,0.2804827094078064,4.624110253003892,0.35357731580734253
ENSG00000000419.15,0.9789156626506024,126.21084594726562,0.005869568994967267,2.460418951871439,2.362288501986768,1.5835198163986206,4.821867906983243,1.7232657670974731
ENSG00000000457.15,0.9487951807228916,70.11947631835938,0.004797077999683097,1.5038086292791264,2.274376415007282,1.1633061170578003,4.820082768012071,1.2519865036010742
ENSG00000000460.18,0.8684738955823293,66.53413391113281,0.005257810989860445,0.8882071709739013,2.229660821001744,0.8238260746002197,4.664303678990109,0.9112331867218018
ENSG00000000938.14,1.0,883.6536254882812,0.005706914002075791,3.5853238246752426,2.1875531239784323,1.6653342247009277,4.732785894011613,1.874364972114563
ENSG00000000971.18,0.8283132530120482,38.01506042480469,0.0055698729993309826,0.5897305991538635,1.399259213998448,0.588740348815918,4.3959616930224,0.706896960735321
ENSG00000001036.15,0.8875502008032129,55.63453674316406,0.005072359024779871,0.943269544211775,1.4509985750191845,0.9400583505630493,4.36341340400395,1.1510435342788696
ENSG00000001084.14,0.9849397590361446,249.1726837158203,0.005182851979043335,2.378221512032873,2.145277884003008,1.2744523286819458,4.547571959992638,1.3870577812194824
ENSG00000001167.16,0.9849397590361446,193.45883178710938,0.005523542000446469,2.906240895623534,2.2050560770148877,1.3571311235427856,4.612388984009158,1.4685173034667969
ENSG00000001460.19,0.7399598393574297,15.537148475646973,0.005756680009653792,0.5333762754630375,2.115639469004236,0.5229103565216064,4.425897100009024,0.6082592010498047
ENSG00000001461.20,0.9558232931726908,141.89959716796875,0.005387701006839052,1.8926809932762625,2.1741969090071507,1.4792091846466064,4.623533421981847,1.6176049709320068
ENSG00000001497.19,0.9889558232931727,242.7971954345703,0.007586226973216981,3.299539241788588,2.197857176011894,1.4103764295578003,4.575981756992405,1.525952696800232
ENSG00000001561.8,0.7580321285140562,22.37148666381836,0.005037374998209998,0.6041209494078731,1.5751888590166345,0.6023185849189758,4.275269529025536,0.7697256803512573
ENSG00000001617.13,0.5180722891566265,14.951807022094727,0.009950423991540447,0.2571889389656499,1.088887929014163,0.2570473551750183,4.19196135099628,0.4143308997154236
ENSG00000001629.11,0.9869477911646586,308.4297180175781,0.005954154999926686,4.511903498017637,2.1506055259960704,2.1000189781188965,4.558465285983402,2.2793474197387695
